start_location_x,start_location_y,cluster_label
121.531,31.306,2
121.469,31.281,5
121.437,31.34,5
121.381,31.317,3
121.498,31.236,1
121.515,31.269,2
121.534,31.268,2
121.492,31.308,5
121.484,31.304,5
121.555,31.286,2
121.413,31.127,4
121.403,31.238,0
121.477,31.288,5
121.473,31.264,0
121.423,31.254,0
121.384,31.315,3
121.461,31.31,5
121.358,31.316,3
121.48,31.274,2
121.5,31.252,2
121.492,31.263,2
121.437,31.19,1
121.47,31.207,1
121.402,31.129,4
121.548,31.269,2
121.499,31.29,2
121.442,31.187,1
121.526,31.324,2
121.483,31.264,2
121.405,31.165,4
121.546,31.298,2
121.377,31.158,4
121.526,31.168,1
121.534,31.26,2
121.474,31.308,5
121.511,31.259,2
121.517,31.3,2
121.501,31.275,2
121.402,31.102,4
121.424,31.178,4
121.444,31.172,4
121.473,31.236,1
121.518,31.302,2
121.384,31.261,3
121.421,31.206,4
121.468,31.214,1
121.503,31.265,2
121.434,31.167,4
121.522,31.317,2
121.417,31.366,5
121.475,31.261,0
121.406,31.282,0
121.482,31.243,1
121.473,31.197,1
121.451,31.215,1
121.49,31.28,2
121.528,31.266,2
121.498,31.237,1
121.467,31.242,0
121.457,31.322,5
121.315,31.313,3
121.433,31.184,4
121.431,31.243,0
121.48,31.226,1
121.405,31.148,4
121.468,31.22,1
121.518,31.227,1
121.535,31.262,2
121.426,31.271,0
121.439,31.214,1
121.46,31.306,5
121.332,31.266,3
121.49,31.337,5
121.493,31.266,2
121.484,31.265,2
121.417,31.279,0
121.541,31.324,2
121.386,31.293,3
121.474,31.304,5
121.432,31.214,0
121.511,31.307,2
121.413,31.141,4
121.439,31.283,0
121.414,31.178,4
121.377,31.272,3
121.45,31.184,1
121.5,31.207,1
121.413,31.196,4
121.517,31.275,2
121.477,31.256,0
121.491,31.345,5
121.474,31.334,5
121.477,31.27,0
121.462,31.204,1
121.467,31.256,0
121.477,31.288,5
121.442,31.252,0
121.535,31.318,2
121.486,31.175,1
121.441,31.268,0
121.498,31.217,1
121.407,31.291,0
121.587,31.21,2
121.431,31.191,4
121.438,31.12,4
121.362,31.131,4
121.412,31.196,4
121.476,31.283,5
121.488,31.293,5
121.432,31.25,0
121.313,31.238,3
121.504,31.145,1
121.529,31.318,2
121.417,31.146,4
121.414,31.269,0
121.478,31.225,1
121.431,31.276,0
121.43,31.228,0
121.44,31.139,4
121.417,31.272,0
121.31,31.292,3
121.436,31.24,0
121.5,31.402,5
121.44,31.242,0
121.495,31.338,5
121.422,31.285,0
121.367,31.236,3
121.41,31.27,0
121.458,31.317,5
121.479,31.225,1
121.429,31.217,0
121.348,31.28,3
121.413,31.142,4
121.658,31.213,2
121.407,31.097,4
121.396,31.141,4
121.492,31.311,5
121.445,31.165,4
121.481,31.281,5
121.406,31.276,0
121.504,31.208,1
121.421,31.328,5
121.46,31.262,0
121.421,31.284,0
121.421,31.121,4
121.467,31.2,1
121.5,31.266,2
121.407,31.295,0
121.513,31.275,2
121.476,31.321,5
121.475,31.267,0
121.449,31.23,0
121.399,31.278,0
121.397,31.168,4
121.368,31.293,3
121.382,31.154,4
121.43,31.273,0
121.477,31.199,1
121.483,31.29,5
121.469,31.258,0
121.506,31.195,1
121.459,31.215,1
121.434,31.365,5
121.428,31.21,0
121.47,31.212,1
121.502,31.274,2
121.418,31.192,4
121.493,31.282,2
121.557,31.292,2
121.525,31.318,2
121.531,31.282,2
121.443,31.134,4
121.49,31.318,5
121.482,31.245,1
121.365,31.258,3
121.396,31.163,4
121.476,31.263,0
121.443,31.252,0
121.546,31.326,2
121.377,31.245,3
121.401,31.063,4
121.499,31.119,1
121.453,31.127,4
121.435,31.195,1
121.483,31.236,1
121.566,31.223,2
121.506,31.201,1
121.49,31.14,1
121.534,31.287,2
121.449,31.283,0
121.507,31.308,2
121.412,31.196,4
121.491,31.279,2
121.514,31.299,2
121.436,31.221,0
121.436,31.218,0
121.47,31.262,0
121.387,31.25,3
121.511,31.276,2
121.386,31.171,4
121.474,31.198,1
121.454,31.27,0
121.443,31.157,4
121.438,31.155,4
121.564,31.229,2
121.422,31.189,4
121.462,31.169,1
121.535,31.288,2
121.518,31.291,2
121.448,31.236,0
121.423,31.237,0
121.542,31.282,2
121.319,31.24,3
121.588,31.312,2
121.444,31.31,5
121.551,31.279,2
121.526,31.277,2
121.492,31.25,1
121.455,31.271,0
121.501,31.28,2
121.397,31.257,0
121.422,31.274,0
121.489,31.293,2
121.413,31.302,0
121.532,31.224,1
121.536,31.194,1
121.495,31.221,1
121.514,31.303,2
121.37,31.258,3
121.506,31.302,2
121.484,31.237,1
121.477,31.221,1
121.49,31.331,5
121.357,31.309,3
121.504,31.304,2
121.406,31.178,4
121.534,31.324,2
121.417,31.261,0
121.522,31.309,2
121.461,31.192,1
121.396,31.274,0
121.401,31.144,4
121.355,31.242,3
121.44,31.323,5
121.49,31.305,5
121.362,31.253,3
121.456,31.317,5
121.45,31.16,4
121.415,31.11,4
